year,state,disabilityType,classOfWorker,percentage,numbers
2018,New York,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,68.3,6490607.055
2018,New York,With a Disability,Private for-profit wage and salary workers,63.3,279837.906
2018,New York,No Disability,Private for-profit wage and salary workers,68.5,6206787.055
2018,New York,Total Civilian Noninstitutionalized Population,Employee of private company workers,64.5,6129489.825
2018,New York,With a Disability,Employee of private company workers,59.3,262154.626
2018,New York,No Disability,Employee of private company workers,64.8,5871529.944
2018,New York,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.7,351614.145
2018,New York,With a Disability,Self-employed in own incorporated business workers,4,17683.28
2018,New York,No Disability,Self-employed in own incorporated business workers,3.7,335257.111
2018,New York,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,10.5,997823.925
2018,New York,With a Disability,Private not-for-profit wage and salary workers,13.2,58354.824
2018,New York,No Disability,Private not-for-profit wage and salary workers,10.4,942344.312
2018,New York,Total Civilian Noninstitutionalized Population,Local government workers,9.3,883786.905
2018,New York,With a Disability,Local government workers,9.9,43766.118
2018,New York,No Disability,Local government workers,9.3,842673.279
2018,New York,Total Civilian Noninstitutionalized Population,State government workers,4.3,408632.655
2018,New York,With a Disability,State government workers,4.4,19451.608
2018,New York,No Disability,State government workers,4.3,389623.129
2018,New York,Total Civilian Noninstitutionalized Population,Federal government workers,1.6,152049.36
2018,New York,With a Disability,Federal government workers,1.7,7515.394
2018,New York,No Disability,Federal government workers,1.6,144976.048
2018,New York,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.7,541675.845
2018,New York,With a Disability,Self-employed in own not incorporated business workers,7.4,32714.068
2018,New York,No Disability,Self-employed in own not incorporated business workers,5.6,507416.168
2018,New York,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,19006.17
2018,New York,With a Disability,Unpaid family workers,0.2,884.164
2018,New York,No Disability,Unpaid family workers,0.2,18122.006
